iter	Passed	Remaining
0	135	134950
1	137	68602
2	138	46165
3	139	34814
4	140	27998
5	141	23450
6	142	20201
7	143	17842
8	145	15998
9	146	14485
10	147	13256
11	148	12208
12	149	11321
13	150	10585
14	151	9942
15	152	9359
16	152	8838
17	153	8374
18	154	7957
19	154	7590
20	155	7264
21	156	6976
22	157	6693
23	158	6431
24	158	6190
25	159	5971
26	160	5771
27	160	5583
28	161	5405
29	162	5241
30	162	5088
31	163	4943
32	164	4808
33	164	4677
34	165	4556
35	165	4442
36	166	4332
37	166	4227
38	167	4127
39	168	4032
40	168	3944
41	169	3861
42	169	3780
43	170	3702
44	170	3628
45	171	3557
46	172	3488
47	172	3422
48	173	3361
49	173	3302
50	174	3252
51	175	3198
52	176	3144
53	176	3093
54	177	3043
55	177	2995
56	178	2948
57	178	2905
58	179	2863
59	180	2822
60	180	2785
61	181	2746
62	182	2708
63	182	2671
64	183	2634
65	183	2599
66	184	2565
67	184	2531
68	185	2499
69	185	2468
70	186	2437
71	186	2408
72	187	2383
73	188	2360
74	189	2335
75	189	2309
76	190	2284
77	191	2259
78	191	2234
79	192	2210
80	192	2187
81	193	2168
82	194	2143
83	194	2125
84	195	2105
85	196	2085
86	196	2065
87	197	2045
88	197	2025
89	198	2006
90	199	1989
91	199	1971
92	200	1953
93	200	1936
94	201	1920
95	202	1903
96	202	1886
97	203	1870
98	203	1854
99	204	1838
100	204	1823
101	205	1808
102	206	1798
103	207	1785
104	207	1772
105	208	1758
106	209	1745
107	209	1732
108	210	1719
109	210	1706
110	211	1693
111	212	1681
112	212	1668
113	213	1656
114	213	1644
115	214	1632
116	214	1620
117	215	1609
118	216	1599
119	216	1588
120	217	1577
121	217	1565
122	218	1555
123	218	1545
124	219	1535
125	219	1525
126	220	1514
127	220	1504
128	221	1494
129	221	1485
130	222	1475
131	223	1466
132	223	1457
133	224	1450
134	225	1446
135	226	1438
136	226	1429
137	227	1421
138	228	1412
139	228	1403
140	229	1395
141	229	1386
142	229	1377
143	230	1371
144	231	1364
145	232	1357
146	232	1349
147	233	1342
148	233	1335
149	234	1327
150	234	1321
151	235	1313
152	235	1306
153	236	1299
154	237	1292
155	237	1286
156	238	1280
157	239	1273
158	239	1268
159	240	1262
160	240	1254
161	241	1248
162	241	1242
163	242	1236
164	243	1229
165	243	1224
166	244	1220
167	245	1214
168	245	1208
169	246	1202
170	246	1197
171	247	1191
172	248	1186
173	248	1180
174	249	1177
175	250	1173
176	251	1167
177	251	1162
178	252	1157
179	252	1152
180	253	1146
181	254	1141
182	254	1136
183	255	1132
184	255	1127
185	256	1122
186	257	1118
187	257	1114
188	258	1109
189	259	1104
190	259	1100
191	260	1095
192	260	1090
193	261	1086
194	262	1083
195	263	1080
196	263	1076
197	264	1071
198	265	1067
199	265	1062
200	266	1058
201	266	1053
202	267	1049
203	267	1044
204	268	1041
205	269	1037
206	269	1033
207	270	1029
208	271	1026
209	271	1022
210	272	1019
211	273	1015
212	273	1011
213	274	1008
214	275	1004
215	275	1000
216	276	997
217	276	993
218	277	989
219	278	986
220	278	982
221	279	978
222	279	974
223	280	971
224	281	969
225	282	966
226	282	963
227	283	959
228	283	955
229	284	952
230	285	949
231	285	946
232	286	942
233	287	940
234	287	937
235	288	934
236	289	930
237	289	927
238	290	924
239	290	921
240	291	917
241	291	914
242	292	911
243	292	907
244	293	905
245	294	903
246	295	900
247	295	897
248	296	894
249	296	890
250	297	887
251	298	884
252	298	881
253	299	879
254	300	877
255	300	874
256	301	871
257	302	868
258	302	865
259	303	863
260	303	860
261	304	857
262	304	854
263	305	851
264	305	848
265	306	846
266	307	843
267	307	841
268	308	838
269	309	835
270	309	832
271	310	830
272	310	827
273	311	824
274	311	822
275	312	819
276	313	817
277	314	815
278	314	813
279	315	810
280	315	808
281	316	805
282	317	803
283	317	800
284	318	799
285	319	797
286	320	795
287	320	793
288	321	790
289	322	788
290	322	785
291	323	783
292	323	781
293	324	779
294	325	777
295	325	774
296	326	772
297	326	770
298	327	767
299	328	765
300	328	763
301	329	760
302	329	758
303	330	756
304	330	754
305	331	752
306	332	750
307	332	748
308	333	746
309	334	743
310	334	741
311	335	739
312	335	737
313	336	735
314	337	732
315	337	730
316	338	728
317	338	726
318	339	724
319	339	722
320	340	719
321	341	718
322	341	715
323	342	713
324	342	711
325	343	710
326	343	707
327	344	706
328	345	704
329	345	702
330	346	700
331	346	698
332	347	696
333	348	693
334	348	691
335	349	689
336	349	688
337	350	686
338	350	684
339	351	682
340	351	680
341	352	678
342	353	676
343	353	674
344	354	672
345	354	670
346	355	668
347	355	666
348	356	665
349	357	663
350	357	661
351	358	659
352	358	657
353	359	655
354	360	654
355	360	652
356	361	650
357	362	649
358	362	647
359	363	646
360	363	644
361	364	642
362	365	640
363	365	638
364	366	636
365	366	635
366	367	633
367	367	631
368	368	630
369	369	629
370	370	627
371	370	625
372	371	624
373	372	623
374	372	621
375	373	619
376	374	618
377	374	616
378	375	615
379	376	613
380	376	612
381	377	610
382	377	608
383	378	607
384	379	605
385	379	603
386	380	602
387	380	600
388	381	598
389	381	597
390	382	595
391	382	593
392	383	592
393	384	590
394	384	589
395	385	587
396	385	585
397	386	584
398	387	582
399	403	604
400	403	602
401	404	601
402	404	599
403	405	597
404	405	596
405	406	594
406	406	592
407	407	590
408	407	589
409	408	588
410	409	586
411	409	585
412	410	583
413	411	581
414	411	580
415	412	578
416	412	576
417	413	575
418	413	573
419	414	572
420	414	570
421	415	568
422	415	567
423	416	565
424	416	564
425	417	562
426	417	560
427	418	559
428	419	557
429	419	556
430	420	554
431	421	553
432	421	552
433	422	550
434	422	549
435	423	547
436	424	546
437	424	544
438	425	543
439	425	541
440	426	540
441	427	539
442	428	538
443	428	536
444	429	535
445	429	534
446	430	532
447	431	531
448	431	529
449	432	528
450	432	526
451	433	525
452	434	524
453	434	522
454	435	521
455	435	519
456	436	518
457	436	517
458	437	515
459	438	514
460	439	513
461	440	512
462	440	511
463	441	509
464	441	508
465	442	506
466	442	505
467	443	504
468	443	502
469	444	501
470	445	499
471	445	498
472	446	497
473	447	496
474	447	494
475	448	493
476	448	492
477	449	490
478	450	489
479	450	488
480	451	487
481	452	485
482	452	484
483	453	483
484	453	481
485	454	480
486	454	479
487	455	477
488	456	476
489	456	475
490	457	473
491	458	473
492	458	471
493	459	470
494	460	469
495	460	468
496	461	466
497	461	465
498	462	464
499	462	462
500	463	461
501	464	460
502	465	459
503	465	458
504	466	457
505	466	455
506	467	454
507	467	453
508	468	451
509	468	450
510	469	449
511	469	447
512	470	446
513	471	445
514	471	444
515	472	442
516	472	441
517	473	440
518	473	439
519	474	437
520	475	436
521	475	435
522	476	434
523	476	433
524	477	431
525	478	430
526	478	429
527	479	428
528	479	427
529	480	426
530	481	424
531	481	423
532	482	422
533	482	421
534	483	420
535	484	419
536	484	417
537	485	416
538	485	415
539	486	414
540	486	413
541	487	411
542	488	410
543	488	409
544	489	408
545	489	407
546	490	406
547	490	404
548	491	403
549	491	402
550	492	401
551	492	400
552	493	398
553	494	397
554	494	396
555	495	395
556	495	394
557	496	393
558	497	392
559	497	390
560	498	389
561	498	388
562	499	387
563	499	386
564	500	385
565	500	384
566	501	382
567	502	381
568	502	380
569	503	379
570	503	378
571	504	377
572	504	376
573	505	375
574	505	373
575	506	372
576	507	371
577	507	370
578	508	369
579	508	368
580	509	367
581	509	366
582	510	365
583	511	364
584	511	362
585	512	361
586	512	360
587	513	359
588	513	358
589	514	357
590	514	356
591	515	355
592	515	353
593	516	352
594	516	351
595	517	350
596	518	349
597	518	348
598	519	347
599	519	346
600	520	345
601	520	344
602	521	343
603	521	342
604	522	341
605	522	339
606	523	338
607	523	337
608	524	336
609	524	335
610	525	334
611	526	333
612	526	332
613	527	331
614	527	330
615	528	329
616	528	328
617	529	327
618	529	326
619	530	325
620	530	323
621	531	322
622	532	321
623	532	320
624	533	319
625	533	318
626	534	317
627	534	316
628	535	315
629	535	314
630	536	313
631	536	312
632	537	311
633	537	310
634	538	309
635	538	308
636	539	307
637	540	306
638	540	305
639	541	304
640	541	303
641	542	302
642	542	301
643	543	300
644	543	299
645	544	298
646	545	297
647	545	296
648	546	295
649	546	294
650	547	293
651	547	292
652	548	291
653	548	290
654	549	289
655	550	288
656	550	287
657	551	286
658	551	285
659	552	284
660	552	283
661	553	282
662	553	281
663	554	280
664	554	279
665	555	278
666	556	277
667	556	276
668	557	275
669	557	274
670	558	273
671	558	272
672	559	271
673	559	270
674	560	269
675	561	268
676	561	267
677	562	266
678	562	265
679	563	264
680	563	264
681	564	263
682	564	262
683	565	261
684	565	260
685	566	259
686	566	258
687	567	257
688	567	256
689	568	255
690	568	254
691	569	253
692	569	252
693	570	251
694	571	250
695	571	249
696	572	248
697	572	247
698	573	246
699	573	245
700	574	245
701	574	244
702	575	243
703	575	242
704	576	241
705	577	240
706	577	239
707	578	238
708	578	237
709	579	236
710	579	235
711	580	234
712	580	233
713	581	232
714	581	231
715	582	230
716	582	230
717	583	229
718	583	228
719	584	227
720	584	226
721	585	225
722	585	224
723	586	223
724	587	222
725	587	221
726	588	220
727	588	219
728	589	219
729	589	218
730	590	217
731	590	216
732	591	215
733	591	214
734	592	213
735	592	212
736	593	211
737	593	210
738	594	209
739	594	209
740	595	208
741	595	207
742	596	206
743	596	205
744	597	204
745	598	203
746	598	202
747	599	201
748	599	200
749	600	200
750	600	199
751	601	198
752	601	197
753	602	196
754	602	195
755	603	194
756	603	193
757	604	192
758	604	192
759	605	191
760	606	190
761	606	189
762	607	188
763	607	187
764	608	186
765	608	185
766	609	185
767	609	184
768	610	183
769	610	182
770	611	181
771	611	180
772	612	179
773	612	178
774	613	178
775	613	177
776	614	176
777	614	175
778	615	174
779	616	173
780	616	172
781	617	172
782	617	171
783	618	170
784	618	169
785	619	168
786	619	167
787	620	166
788	620	166
789	621	165
790	621	164
791	622	163
792	622	162
793	623	161
794	623	160
795	624	160
796	624	159
797	625	158
798	626	157
799	626	156
800	627	155
801	627	154
802	628	154
803	628	153
804	629	152
805	629	151
806	630	150
807	630	149
808	631	149
809	631	148
810	632	147
811	632	146
812	633	145
813	634	144
814	634	144
815	635	143
816	635	142
817	636	141
818	636	140
819	637	139
820	637	139
821	638	138
822	638	137
823	639	136
824	640	135
825	640	134
826	641	134
827	641	133
828	642	132
829	642	131
830	643	130
831	643	129
832	644	129
833	644	128
834	645	127
835	646	126
836	646	125
837	647	125
838	647	124
839	648	123
840	648	122
841	649	121
842	649	121
843	650	120
844	650	119
845	651	118
846	651	117
847	652	116
848	653	116
849	653	115
850	654	114
851	654	113
852	655	112
853	655	112
854	656	111
855	656	110
856	657	109
857	657	108
858	658	108
859	659	107
860	659	106
861	660	105
862	660	104
863	661	104
864	661	103
865	662	102
866	662	101
867	663	100
868	663	100
869	664	99
870	665	98
871	665	97
872	666	96
873	666	96
874	667	95
875	667	94
876	668	93
877	668	92
878	669	92
879	669	91
880	670	90
881	670	89
882	671	88
883	672	88
884	672	87
885	673	86
886	673	85
887	674	85
888	674	84
889	675	83
890	675	82
891	676	81
892	676	81
893	677	80
894	678	79
895	678	78
896	679	77
897	679	77
898	680	76
899	680	75
900	681	74
901	681	74
902	682	73
903	682	72
904	683	71
905	683	70
906	684	70
907	685	69
908	685	68
909	686	67
910	686	67
911	687	66
912	687	65
913	688	64
914	688	63
915	689	63
916	689	62
917	690	61
918	691	60
919	691	60
920	692	59
921	692	58
922	693	57
923	693	57
924	694	56
925	694	55
926	695	54
927	695	53
928	696	53
929	696	52
930	697	51
931	697	50
932	698	50
933	699	49
934	699	48
935	700	47
936	700	47
937	701	46
938	701	45
939	702	44
940	702	44
941	703	43
942	704	42
943	704	41
944	705	41
945	705	40
946	706	39
947	706	38
948	707	38
949	707	37
950	708	36
951	708	35
952	709	34
953	709	34
954	710	33
955	710	32
956	711	31
957	712	31
958	712	30
959	713	29
960	713	28
961	714	28
962	714	27
963	715	26
964	715	25
965	716	25
966	716	24
967	717	23
968	717	22
969	718	22
970	719	21
971	719	20
972	720	19
973	720	19
974	721	18
975	721	17
976	722	17
977	722	16
978	723	15
979	723	14
980	724	14
981	724	13
982	725	12
983	726	11
984	726	11
985	727	10
986	727	9
987	728	8
988	728	8
989	729	7
990	729	6
991	730	5
992	731	5
993	731	4
994	732	3
995	732	2
996	733	2
997	733	1
998	734	0
999	734	0
